"","Player","Date","Team","TOI","CA","GA","xGA","FA","CA60","CSv%","FA60","FSv%","xGA60","xFSv%","Adj.FSv%"
"83","JOHN.GIBSON","2017-04-13","ANA",42.39,51,1,2.26,35,72.19,98.04,49.54,97.14,3.2,93.54,3.61
"84","JONATHAN.BERNIER","2017-04-17","ANA",28.76,28,0,1.21,23,58.41,100,47.98,100,2.52,94.76,5.24
"85","LAURENT.BROSSOIT","2017-04-18","EDM",12.07,4,0,0.17,4,19.88,100,19.88,100,0.83,95.84,4.16
"86","MARC-ANDRE.FLEURY","2017-05-03","PIT",40.82,56,2,2.15,37,82.31,96.43,54.39,94.59,3.16,94.19,0.4
"87","MARC-ANDRE.FLEURY","2017-05-01","PIT",41.55,45,1,2.68,33,64.98,97.78,47.65,96.97,3.87,91.89,5.08
"88","MARC-ANDRE.FLEURY","2017-04-29","PIT",43.93,69,1,1.83,43,94.24,98.55,58.73,97.67,2.5,95.74,1.94
"89","MARC-ANDRE.FLEURY","2017-04-27","PIT",52.02,72,2,2.18,47,83.04,97.22,54.21,95.74,2.52,95.35,0.39
"90","MARC-ANDRE.FLEURY","2017-04-20","PIT",48.56,57,1,2.63,44,70.43,98.25,54.37,97.73,3.25,94.01,3.71
"91","MARC-ANDRE.FLEURY","2017-04-18","PIT",48.1,58,5,4.25,45,72.35,91.38,56.13,88.89,5.31,90.55,-1.66
"92","MARC-ANDRE.FLEURY","2017-04-16","PIT",64.41,63,3,3.03,43,58.69,95.24,40.06,93.02,2.82,92.95,0.07
"93","MARC-ANDRE.FLEURY","2017-04-14","PIT",49.05,60,1,2.34,42,73.39,98.33,51.38,97.62,2.87,94.42,3.2
"94","MARC-ANDRE.FLEURY","2017-04-12","PIT",49.13,48,1,1.2,32,58.62,97.92,39.08,96.88,1.46,96.26,0.62
"95","MARTIN.JONES","2017-04-22","S.J",49.17,45,2,2.02,29,54.91,95.56,35.39,93.1,2.46,93.04,0.06
"96","MARTIN.JONES","2017-04-20","S.J",70.53,95,3,3.79,62,80.82,96.84,52.74,95.16,3.23,93.88,1.28
"97","MARTIN.JONES","2017-04-18","S.J",39.76,37,0,1.2,25,55.84,100,37.73,100,1.81,95.21,4.79
"98","MARTIN.JONES","2017-04-16","S.J",52.3,47,1,2.09,29,53.92,97.87,33.27,96.55,2.4,92.78,3.77
"99","MARTIN.JONES","2017-04-14","S.J",38.25,47,0,1.96,31,73.73,100,48.63,100,3.07,93.69,6.31
"100","MARTIN.JONES","2017-04-12","S.J",43.58,31,1,0.93,21,42.68,96.77,28.91,95.24,1.28,95.57,-0.33
"101","MIKE.CONDON","2017-05-04","OTT",14.48,11,0,0.51,9,45.58,100,37.29,100,2.12,94.33,5.67
"102","PEKKA.RINNE","2017-05-05","NSH",45.04,43,2,1.99,35,57.28,95.35,46.63,94.29,2.65,94.32,-0.03
"103","PEKKA.RINNE","2017-05-02","NSH",41.64,36,1,2.58,33,51.87,97.22,47.55,96.97,3.72,92.17,4.8
"104","PEKKA.RINNE","2017-04-30","NSH",46.91,35,1,0.97,23,44.77,97.14,29.42,95.65,1.25,95.76,-0.11
"105","PEKKA.RINNE","2017-04-28","NSH",44.66,33,2,1.77,23,44.33,93.94,30.9,91.3,2.37,92.32,-1.01
"106","PEKKA.RINNE","2017-04-26","NSH",50.97,56,3,1.63,38,65.92,94.64,44.73,92.11,1.92,95.71,-3.61
"107","PEKKA.RINNE","2017-04-20","NSH",52.28,56,0,2.43,41,64.27,100,47.05,100,2.79,94.08,5.92
"108","PEKKA.RINNE","2017-04-17","NSH",65.37,50,1,1.63,37,45.89,98,33.96,97.3,1.5,95.59,1.71
"109","PEKKA.RINNE","2017-04-15","NSH",50.68,44,0,1.53,31,52.09,100,36.7,100,1.81,95.06,4.94
"110","PEKKA.RINNE","2017-04-13","NSH",52.15,57,0,1.93,34,65.58,100,39.12,100,2.22,94.32,5.68
"111","PHILIPP.GRUBAUER","2017-04-29","WSH",14,11,1,0.52,9,47.14,90.91,38.57,88.89,2.22,94.25,-5.36
"112","SERGEI.BOBROVSKY","2017-04-20","CBJ",48.56,38,3,2.62,31,46.95,92.11,38.3,90.32,3.24,91.54,-1.21
"113","SERGEI.BOBROVSKY","2017-04-18","CBJ",48.1,48,2,2.44,30,59.88,95.83,37.42,93.33,3.05,91.86,1.48
"114","SERGEI.BOBROVSKY","2017-04-16","CBJ",64.41,78,4,4.55,54,72.66,94.87,50.3,92.59,4.24,91.58,1.02
"115","SERGEI.BOBROVSKY","2017-04-14","CBJ",49.05,48,3,2.7,38,58.72,93.75,46.48,92.11,3.3,92.9,-0.8
"116","SERGEI.BOBROVSKY","2017-04-12","CBJ",49.13,34,2,1.53,25,41.52,94.12,30.53,92,1.86,93.9,-1.9
"117","TUUKKA.RASK","2017-04-23","BOS",53.57,49,1,1.68,36,54.88,97.96,40.32,97.22,1.88,95.34,1.89
"118","TUUKKA.RASK","2017-04-19","BOS",49.54,41,1,1.53,33,49.66,97.56,39.97,96.97,1.86,95.36,1.61
"119","TUUKKA.RASK","2017-04-17","BOS",50.21,40,2,1.32,27,47.8,95,32.26,92.59,1.58,95.12,-2.52
"120","TUUKKA.RASK","2017-04-15","BOS",50.63,44,3,1.55,31,52.14,93.18,36.74,90.32,1.84,94.98,-4.66
"121","TUUKKA.RASK","2017-04-12","BOS",48.35,51,1,1.54,35,63.29,98.04,43.43,97.14,1.91,95.59,1.55
